Company,Project,Task,Status,Task Owner,Due Date,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-06-27,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-06-28,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-06-29,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-06-30,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-07-01,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-07-02,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-07-03,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-07-04,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-07-05,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-07-06,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-07-07,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-07-08,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-07-09,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-07-11,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-07-12,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-07-13,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-07-14,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-07-15,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-07-16,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-07-17,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-07-18,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-07-19,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-07-20,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-07-21,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-07-22,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-07-23,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-07-24,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-07-25,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-07-26,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-07-27,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-07-28,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-07-29,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-07-30,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-07-31,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-08-01,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-08-08,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-08-09,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-08-10,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-08-11,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-08-12,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-08-13,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Not Complete,Hannah Davis,2013-08-14,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-05-01,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-05-03,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-05-04,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-05-06,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-05-07,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-05-09,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-05-11,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-05-12,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-05-13,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-05-15,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-05-16,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-05-18,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-05-19,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-05-20,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-05-21,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-05-22,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-05-23,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-06-06,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-06-08,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-06-09,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-06-10,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-06-11,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-06-13,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-06-14,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-06-15,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-06-16,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-06-17,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-06-18,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-06-19,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-06-20,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-06-21,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-06-22,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-06-23,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-06-24,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-06-25,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-06-26,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-06-27,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-06-28,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-06-29,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-06-30,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-07-01,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-07-02,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-07-03,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-07-04,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-07-05,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-07-06,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-07-07,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-07-08,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-07-09,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-07-11,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-07-12,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-07-13,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-07-14,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-07-15,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-07-16,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-07-17,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-07-18,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-07-19,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-07-20,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-07-21,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-07-22,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-07-23,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-07-24,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-07-25,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-07-26,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-07-27,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-07-28,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-07-29,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-07-30,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-07-31,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-08-01,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-08-08,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-08-09,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-08-10,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-08-11,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-08-12,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Complete,Hannah Davis,2013-08-13,
Bill George,Social Updates,"Post social updates once receiving approval from BG",Not Complete,Hannah Davis,2013-08-14,
Bill George,Monthly Web Traffic Report,"Create Report",Complete,Hannah Davis,2013-05-05,
Bill George,Monthly Web Traffic Report,"Create Report",Complete,Hannah Davis,2013-06-05,
Bill George,Monthly Web Traffic Report,"Create Report",Complete,Hannah Davis,2013-07-05,
Bill George,Monthly Web Traffic Report,"Create Report",Complete,Hannah Davis,2013-08-05,
Bill George,Monthly Web Traffic Report,"Create Report",Not Complete,Hannah Davis,2013-09-05,
Bill George,Monthly Web Traffic Report,"Send Report to ZC",Complete,Hannah Davis,2013-05-05,
Bill George,Monthly Web Traffic Report,"Send Report to ZC",Complete,Hannah Davis,2013-06-05,
Bill George,Monthly Web Traffic Report,"Send Report to ZC",Complete,Hannah Davis,2013-07-05,
Bill George,Monthly Web Traffic Report,"Send Report to ZC",Complete,Hannah Davis,2013-08-05,
Bill George,Monthly Web Traffic Report,"Send Report to ZC",Not Complete,Hannah Davis,2013-09-05,
SC,June is Solar Month Campaign,"Compile a report showing how advertising dollars were spent",Complete,Evan Levy,None Set,
SC,June is Solar Month Campaign,"Post New ""Our House, Our Choice"" Social Post",Complete,Evan Levy,2013-06-28,
SC,June is Solar Month Campaign,"Post ""Mac"" Facebook Promoted Post",Complete,Evan Levy,2013-06-28,
SC,June is Solar Month Campaign,"Create ""Dont Tread On My Solar Panels"" Social Post",Complete,Nuno,2013-06-25,
SC,June is Solar Month Campaign,"Create Serf/Duke Energy Social Post",Complete,Nuno,2013-06-26,
SC,June is Solar Month Campaign,"Montgomery Social Post",Complete,Nuno,2013-06-27,
SC,June is Solar Month Campaign,"Post new FB and Twitter ads",Complete,Evan Levy,2013-06-13,
SC,June is Solar Month Campaign,"Identify Twitter Promotion issues",Complete,Nina Martinez,2013-06-10,
SC,June is Solar Month Campaign,"Create New Content For Social Posts",Complete,Nolan Ether,2013-06-10,
SC,June is Solar Month Campaign,"Create New Graphics for Social Posts",Complete,Nuno,2013-06-10,
SC,June is Solar Month Campaign,"Infographic V3",Complete,Nuno,None Set,
SC,June is Solar Month Campaign,"Implement ""Add This"" share buttons to Sierra website",Complete,Jeff Cooper,2013-06-04,
SC,June is Solar Month Campaign,"Approve IG V2",Complete,Emma,None Set,
SC,June is Solar Month Campaign,"Create Individual Infographics from Main Infographic",Complete,Nuno,2013-05-29,
SC,June is Solar Month Campaign,"Create Facebook iconic avatar and cover Photo for viral sharing",Complete,Nuno,2013-05-24,
SC,June is Solar Month Campaign,"Create Promoted Post Ads for Facebook based on designs from Nuno",Complete,Jeff Cooper,2013-05-29,
SC,June is Solar Month Campaign,"FB / TW final cover & avatar graphics",Complete,Nuno,None Set,
SC,June is Solar Month Campaign,"Create Promoted Tweets Ads for Twitter based on Designs from Nuno",Complete,Jeff Cooper,2013-05-29,
SC,June is Solar Month Campaign,"Get Approval for 1st Blog Post",Complete,Emma,2013-05-28,
SC,June is Solar Month Campaign,"Write 2nd Blog Post (Focus on Infographic)",Complete,Nolan Ether,2013-06-05,
SC,June is Solar Month Campaign,"Proofread Job Growth Post",Complete,Diane Pulvino,2013-06-05,
SC,June is Solar Month Campaign,"Send ""Job Growth"" Post to Dustin Once Edited by Diane",Complete,Nolan Ether,2013-06-05,
SC,June is Solar Month Campaign,"Approve IG wireframe",Complete,Emma,None Set,
SC,June is Solar Month Campaign,"Post first Blog post showcasing main infographic, avatars, cover photo and Twitter background",Complete,Nolan Ether,2013-06-04,
SC,June is Solar Month Campaign,"Deploy advertising campaign on Facebook and Twitter pointing to blog post",Complete,Evan Levy,2013-06-04,
SC,June is Solar Month Campaign,"Write ""How to Tell if Someone is From North Carolina"" Blog Post",Complete,Nolan Ether,2013-06-14,
SC,June is Solar Month Campaign,"Deploy ""Renewable Energy/Job Growth"" Blog Post",Complete,Nolan Ether,2013-06-06,
SC,June is Solar Month Campaign,"Create New #NCSolarMonth Promoted Post",Complete,Nolan Ether,2013-06-19,
SC,June is Solar Month Campaign,"Post New ""Worker Hazards"" Promoted Post",Complete,Evan Levy,2013-06-20,
SC,June is Solar Month Campaign,"Create ""My Home, My Choice"" Social Post (buy stock image)",Complete,Nolan Ether,2013-06-27,
SC,June is Solar Month Campaign,"Write New Landing Page Copy About 3rd Party Solar Panel Sales",Complete,Nolan Ether,2013-06-25,
SC,June is Solar Month Campaign,"Post-Mortem Analysis w/ Detailed Paid Spend Report",Complete,Jeff Cooper,2013-07-01,
SC,June is Solar Month Campaign,"Visualize Post-Mortem Data",Complete,Nuno,2013-07-12,
SC,June is Solar Month Campaign,"Edits to Post-Mortem Analysis",Complete,Jeff Cooper,2013-07-02,
SC,June is Solar Month Campaign,"Update Landing Page IG and Content Calendar",Complete,Jeff Cooper,2013-06-07,
SC,June is Solar Month Campaign,"Create GA Dashboard and Share with Client",Complete,Jeff Cooper,2013-06-05,
SC,June is Solar Month Campaign,"Revise Tweets to 112 Characters",Complete,Nolan Ether,2013-06-05,
SC,June is Solar Month Campaign,"Manage Paid Media Transition",Complete,Jeff Cooper,2013-06-05,
SC,June is Solar Month Campaign,"Install tracking code on landing page",Complete,Jeff Cooper,2013-05-31,
SC,June is Solar Month Campaign,"Drupal Login Config and Meeting With Dustin",Complete,Jeff Cooper,2013-05-30,
GW,Location Pages,"Follow up w/ Joel on Navigator changes for GW",Complete,James Kotecki,2013-08-02,
GW,Location Pages,"Wesleyan conversion",Complete,Diane Pulvino,2013-08-01,
GW,Location Pages,"Check on Burleson issue in Google Maps",Complete,Diane Pulvino,2013-08-06,
GW,Location Pages,"",Not Complete,Unassigned,None Set,
GW,Location Pages,"Change GW Social media links",Complete,James Kotecki,2013-07-25,
GW,Location Pages,"GW Call",Complete,James Kotecki,2013-07-24,
GW,Location Pages,"Check on Redirects for Gold and Silver Buyers",Not Complete,James Kotecki,2013-08-16,
GW,Location Pages,"Fix Google Maps issues for Burleson",Complete,Diane Pulvino,2013-07-30,
GW,Location Pages,"Follow up on new Service Order",Not Complete,James Kotecki,2013-08-13,
GW,Location Pages,"Write new service order for GW",Complete,James Kotecki,2013-07-19,
GW,Location Pages,"Coordinate w/ Jordan to integrate Navigator and Content Hub",Complete,James Kotecki,2013-07-09,
GW,Location Pages,"GW call",Complete,James Kotecki,2013-07-12,
GW,Location Pages,"GW call",Complete,James Kotecki,2013-07-19,
GW,Location Pages,"GW call",Complete,James Kotecki,2013-07-26,
GW,Location Pages,"GW call",Complete,James Kotecki,2013-08-02,
GW,Location Pages,"GW call",Not Complete,James Kotecki,2013-08-16,
GW,Location Pages,"Make new GW pages live",Complete,Diane Pulvino,2013-07-16,
GW,Location Pages,"Set up redirects as appropriate",Complete,Diane Pulvino,2013-07-12,
GW,Location Pages,"Check on Google Analytics.",Not Complete,James Kotecki,2013-08-14,
GW,Location Pages,"Follow up Matt Redding on new Content Hub",Not Complete,James Kotecki,2013-07-19,
GW,Location Pages,"Follow up Joel on font change",Complete,James Kotecki,2013-07-30,
GW,Location Pages,"Content Hub performance audit",Not Complete,James Kotecki,2013-07-19,
GW,Content Hub,"Modify Content Hub streams to appropriate GoldWiser steams",Complete,Diane Pulvino,2013-07-15,
GW,Content Hub,"Advise Jordan on the structure of the new blogs",Complete,Diane Pulvino,2013-06-14,
GW,Content Hub,"Make sure the Content Hub shows up in Google Analytics",Complete,James Kotecki,2013-05-24,
GW,Content Hub,"Upload all incoming content on the Content Hub",Complete,Diane Pulvino,2013-05-22,
GW,Content Hub,"Upload all incoming content on the Content Hub",Complete,Diane Pulvino,2013-05-23,
GW,Content Hub,"Upload all incoming content on the Content Hub",Complete,Diane Pulvino,2013-05-24,
GW,Content Hub,"Upload all incoming content on the Content Hub",Complete,Diane Pulvino,2013-05-25,
GW,Content Hub,"Upload all incoming content on the Content Hub",Complete,Diane Pulvino,2013-05-29,
GW,Content Hub,"Upload all incoming content on the Content Hub",Complete,Diane Pulvino,2013-05-31,
GW,Content Hub,"Upload all incoming content on the Content Hub",Complete,Diane Pulvino,2013-06-01,
GW,Content Hub,"Upload all incoming content on the Content Hub",Complete,Diane Pulvino,2013-06-02,
